fixed,model_short,chunker,auc,norm_auc,n_points,occ,legend_label
128,BAAI_bgeM3,semantic_recursive,22.32244,0.69757625,3,0,"(BAAI_bgeM3,semantic-recursive)"
128,Intf_e5L_v2,recursive_token,22.256383999999997,0.6955119999999999,3,0,"(Intf_e5L_v2,recursive-token)"
128,BAAI_bgeM3,recursive_token,22.243896,0.69512175,3,1,"(BAAI_bgeM3,recursive-token)"
256,BAAI_bgeM3,semantic_recursive,47.818208,0.7471595,5,0,"(BAAI_bgeM3,semantic-recursive)"
256,BAAI_bgeM3,recursive_token,47.652064,0.7445635,5,1,"(BAAI_bgeM3,recursive-token)"
256,Intf_e5L_v2,semantic_recursive,47.184896,0.737264,5,0,"(Intf_e5L_v2,semantic-recursive)"
384,Intf_e5L_v2,hierarchical_section,48.925352,0.764458625,5,0,"(Intf_e5L_v2,hierarchical-section)"
384,Intf_e5L_v2,recursive_token,48.46100800000001,0.7572032500000001,5,1,"(Intf_e5L_v2,recursive-token)"
384,Intf_e5L_v2,fixed_token,48.315696,0.75493275,5,2,"(Intf_e5L_v2,fixed-token)"
448,Intf_e5L_v2,recursive_token,48.731552,0.7614305,5,0,"(Intf_e5L_v2,recursive-token)"
448,Intf_e5L_v2,hierarchical_section,48.693200000000004,0.7608312500000001,5,1,"(Intf_e5L_v2,hierarchical-section)"
448,Intf_e5L_v2,fixed_token,48.3362,0.755253125,5,2,"(Intf_e5L_v2,fixed-token)"
